Customer ID,InvoiceDate,Invoice,TotalAmount,ProductVariety,Country,RevenuePercent,AOV,R_Score,F_Score,M_Score,Segment,CLV,Recommended_Intervention,Expected_ROI
12346.0,165,11,372.86,26,United Kingdom,0.3109925788497217,33.89636363636364,2,5,2,At Risk,4430.019801980197,Discount_10%,40688.40125972367
12347.0,3,2,1323.32,70,Iceland,0.6776437847866419,661.66,5,2,4,Potential,15722.613861386139,Discount_10%,16000.35795887281
12348.0,74,1,222.16,20,Finland,0.16743970315398887,222.16,2,1,1,Hibernating,2639.5247524752476,Discount_10%,9111.361917692415
12349.0,43,3,2671.14,90,Italy,0.8480983302411874,890.38,3,3,5,Loyal,31736.31683168317,Discount_10%,41173.17729912984
12351.0,11,1,300.93,21,Unspecified,0.24095547309833024,300.93,5,1,2,Other,3575.4059405940593,Discount_10%,10561.25954738331
12352.0,11,2,343.8,18,Norway,0.29012059369202226,171.9,5,2,2,Potential,4084.752475247525,Discount_10%,16000.35795887281
12353.0,44,1,317.76,20,Bahrain,0.26310296846011133,317.76,3,1,2,Other,3775.366336633663,Discount_10%,10561.25954738331
12355.0,203,1,488.21000000000004,22,Bahrain,0.38984230055658625,488.21000000000004,1,1,2,Hibernating,5800.514851485149,Discount_10%,9111.361917692415
12356.0,16,3,3562.25,68,Portugal,0.8937847866419295,1187.4166666666667,4,3,5,Loyal,42323.762376237624,Discount_10%,41173.17729912984
12357.0,24,2,12079.99,165,Switzerland,0.9807513914656771,6039.995,4,2,5,Potential,143524.63366336634,Discount_10%,16000.35795887281
12358.0,11,3,2719.01,52,Austria,0.849721706864564,906.3366666666667,5,3,5,Loyal,32305.069306930694,Discount_10%,41173.17729912984
12359.0,61,6,2563.36,110,Cyprus,0.839517625231911,427.2266666666667,3,4,5,Loyal,30455.762376237624,Discount_10%,41173.17729912984
12360.0,15,5,1590.83,74,Austria,0.7293599257884972,318.166,5,4,4,Champions,18900.950495049503,Discount_10%,145827.811526072
12361.0,98,3,321.35,14,Belgium,0.2669294990723562,107.11666666666667,2,3,2,At Risk,3818.0198019801983,Discount_10%,40688.40125972367
